  student_dept curriculum_field  field_persons
        數學系         人工智慧              4
        數學系         人文思想              4
        數學系         基礎知識             12
        數學系         理論數學              7
        數學系         統計推論              3
        數學系         財務工程              3
  數學系碩士班         人工智慧              2
  數學系碩士班         統計推論              1
  數學系碩士班         財務工程              1
  數學系碩士班         資料科學              2
資訊工程研究所         人工智慧              6
資訊工程研究所         人文思想              4
資訊工程研究所         基礎知識              3
資訊工程研究所         統計推論              5
資訊工程研究所         財務工程              5
資訊工程研究所         資料科學              4
    資訊工程系         人工智慧              3
    資訊工程系         人文思想              2
    資訊工程系         基礎知識              5
    資訊工程系         理論數學              1
    資訊工程系         統計推論              1
    資訊工程系         財務工程              1
    資訊工程系         資料科學              1
    資訊管理系         人文思想              1
    資訊管理系         基礎知識              1
